OP_UNIQUE_CARRIER,total_flights,delayed_flights,delay_rate_percent
F9,15110,3925,25.976174718729318
OH,19151,4880,25.481698083650983
B6,17558,4294,24.45608839275544
G4,9206,2183,23.712796002606996
OO,63502,13261,20.882806840729426
DL,74025,14302,19.32049983113813
AA,72082,13860,19.228101329041923
MQ,20831,3839,18.429264077576686
NK,16946,3064,18.080963059128997
UA,60668,10694,17.627085119008374
AS,17847,3137,17.57718384042136
YX,26683,4274,16.0176891653862
WN,102120,15531,15.208578143360752
HA,6540,886,13.547400611620795
