DEST,total_flights,delayed_flights,delay_rate_percent
PBI,2886,838,29.036729036729035
SJU,3128,839,26.82225063938619
BUF,1349,325,24.091919940696812
ANC,1162,279,24.010327022375215
FLL,7698,1787,23.213821771888803
PVD,1076,248,23.04832713754647
CVG,2296,512,22.299651567944252
TPA,6323,1391,21.99905108334651
RSW,3487,766,21.967307140808717
DFW,23439,5135,21.907931225734885
MIA,9953,2164,21.742188284939214
TUL,1236,268,21.68284789644013
MEM,1460,316,21.643835616438356
LGA,10567,2278,21.557679568467872
DCA,10637,2285,21.481620757732443
SRQ,1467,315,21.472392638036812
DTW,9105,1952,21.4387699066447
GSP,1050,222,21.142857142857142
MKE,1878,396,21.08626198083067
BHM,1136,238,20.950704225352112
SAT,2982,622,20.85848423876593
OKC,1665,347,20.84084084084084
CLE,2855,593,20.770577933450088
IAH,8700,1807,20.770114942528735
JAX,2137,443,20.72999532054282
BDL,1739,360,20.701552616446232
SAV,1211,247,20.396366639141206
DEN,24351,4962,20.37698657139337
ORF,1374,275,20.014556040756915
ATL,22572,4486,19.87418040049619
MCO,12807,2529,19.747013352073083
OMA,1849,364,19.68631692806923
PHL,6492,1275,19.63955637707948
GRR,1313,257,19.573495811119574
CHS,1497,292,19.505678022712093
ORD,21193,4113,19.40735148398056
DSM,1031,200,19.398642095053344
RIC,1163,219,18.83061049011178
LAS,14806,2788,18.83020397136296
CMH,3213,602,18.736383442265794
IND,3345,622,18.5949177877429
IAD,3878,718,18.5146982980918
SAN,7027,1301,18.51430197808453
MSY,3793,701,18.481413129448985
ELP,1309,241,18.41100076394194
AUS,5998,1104,18.40613537845949
SDF,1599,294,18.386491557223263
RDU,4079,730,17.896543270409417
GEG,1233,220,17.842660178426602
PIT,3000,533,17.766666666666666
JFK,8160,1444,17.69607843137255
EWR,9907,1746,17.623902291309175
BOI,1828,320,17.505470459518598
SEA,11729,2015,17.179640208031373
BNA,7080,1211,17.104519774011298
MCI,3188,538,16.87578419071518
TUS,1839,308,16.748232735182164
MDW,5067,847,16.71600552595224
STL,4383,732,16.700889801505816
BOS,10372,1718,16.56382568453529
ABQ,1761,288,16.35434412265758
CLT,16093,2630,16.342509165475672
MSP,8376,1350,16.117478510028654
HOU,3841,609,15.85524602967977
PDX,4359,689,15.806377609543473
RNO,1658,260,15.681544028950542
DAL,5456,841,15.414222873900293
LAX,14940,2301,15.401606425702811
SFO,10732,1651,15.3838986209467
SNA,3388,512,15.11216056670602
ONT,1875,274,14.613333333333333
SLC,9260,1327,14.330453563714904
BWI,6767,964,14.245603664844097
PHX,15760,2231,14.156091370558377
BUR,2272,320,14.084507042253522
SMF,4100,575,14.02439024390244
PSP,1438,188,13.073713490959666
OAK,2838,330,11.627906976744185
LGB,1329,154,11.587659894657637
HNL,5045,581,11.51635282457879
SJC,3650,411,11.26027397260274
LIH,1289,119,9.231962761830877
KOA,1354,119,8.78877400295421
OGG,2189,174,7.948835084513477
