feature,importance
num__DAY_OF_MONTH,0.389944270670954
num__DAY_OF_WEEK,0.0966221375576359
num__CRS_DEP_TIME,0.09533281057977949
cat__OP_UNIQUE_CARRIER_WN,0.03872874279438003
num__DISTANCE,0.034845933038014726
num__CRS_ARR_TIME,0.030004390694464467
cat__ORIGIN_DEN,0.02911891014562574
num__CRS_ELAPSED_TIME,0.02306712310460593
cat__ORIGIN_ATL,0.019115181747954763
cat__DEST_DEN,0.014310640410380859
cat__OP_UNIQUE_CARRIER_OH,0.013234387606519004
cat__DEST_DFW,0.011520819382032152
cat__ORIGIN_ORD,0.011235648540218284
cat__DEST_ATL,0.01073184663431682
cat__ORIGIN_DFW,0.009561713935477991
cat__DEST_LGA,0.009326886771858162
cat__OP_UNIQUE_CARRIER_OO,0.008988664929764972
cat__OP_UNIQUE_CARRIER_YX,0.008920541498547443
cat__OP_UNIQUE_CARRIER_HA,0.00854218872785437
cat__OP_UNIQUE_CARRIER_DL,0.006721315534400564
cat__OP_UNIQUE_CARRIER_B6,0.006535188557566681
cat__DEST_LAS,0.006434721557576267
cat__ORIGIN_DTW,0.0057483976710169206
cat__ORIGIN_LGA,0.005739381893314308
cat__OP_UNIQUE_CARRIER_AA,0.005022442239227327
cat__DEST_ORD,0.0049000846015937564
cat__ORIGIN_MIA,0.004662641217424442
cat__DEST_MIA,0.0044893296034628
cat__ORIGIN_DCA,0.004440611480825545
cat__DEST_DCA,0.0041832005553685435
cat__ORIGIN_LAS,0.004010921856927175
cat__ORIGIN_BOS,0.003956527657148909
cat__ORIGIN_PHL,0.003695305589208359
cat__OP_UNIQUE_CARRIER_G4,0.0032836750306459847
cat__ORIGIN_CLT,0.0032195548407722555
cat__OP_UNIQUE_CARRIER_F9,0.0025828987608944444
cat__ORIGIN_SFO,0.0022749492698735095
cat__DEST_FLL,0.002158750198874511
cat__ORIGIN_SEA,0.002083216961685941
cat__DEST_MCO,0.0019708316446794276
cat__DEST_EWR,0.0019304626904572842
cat__OP_UNIQUE_CARRIER_UA,0.0019268677269457797
cat__DEST_DTW,0.0019255893044423475
cat__DEST_SFO,0.0017023934627928077
cat__ORIGIN_IAH,0.0016097815587799516
cat__ORIGIN_LAX,0.0016065361168180077
cat__ORIGIN_PIT,0.0015991891823431193
cat__ORIGIN_SAN,0.0015706503593769614
cat__DEST_IAH,0.001563538842448644
cat__ORIGIN_MDW,0.001555793345975316
cat__DEST_PBI,0.0014204230482332857
cat__DEST_SAN,0.0014008214279058275
cat__ORIGIN_BWI,0.0013334428440898653
cat__DEST_CLT,0.0013312400457426107
cat__ORIGIN_MSP,0.001292877300768025
cat__ORIGIN_JFK,0.0012481242978615863
cat__ORIGIN_SLC,0.0012442818101574351
cat__DEST_TPA,0.0011600116208179817
cat__ORIGIN_PHX,0.0011535808610669974
cat__ORIGIN_HNL,0.0011198373897668376
cat__OP_UNIQUE_CARRIER_NK,0.001050224123193238
cat__ORIGIN_MCO,0.0010443620659370979
cat__DEST_RSW,0.000991716762228988
cat__DEST_DAL,0.0009502279581551946
cat__ORIGIN_CLE,0.0009238763219908202
cat__DEST_ANC,0.0008663355759073408
cat__DEST_PHX,0.0008148700881252744
cat__ORIGIN_SDF,0.0007504028567788683
cat__DEST_BOS,0.0006833244225635122
cat__DEST_MDW,0.0006398198931171264
cat__DEST_MSP,0.0006115533131000338
cat__ORIGIN_FLL,0.000549040234657223
num__DISTANCE_GROUP,0.0005133167884781147
cat__DEST_HOU,0.0004911696075113769
cat__DEST_IAD,0.00047834979821824046
cat__ORIGIN_IAD,0.0004350500994663644
cat__ORIGIN_EWR,0.00043107978166367976
cat__OP_UNIQUE_CARRIER_AS,0.00043010739231962453
cat__ORIGIN_SMF,0.0004162594644666055
cat__DEST_LAX,0.00040595896182619756
cat__ORIGIN_STL,0.00035654443232799933
cat__DEST_AUS,0.00031159696616288513
cat__ORIGIN_TPA,0.0003079139782803225
cat__DEST_SEA,0.00029861072990626346
cat__DEP_TIME_BLK_1900-1959,0.0002892390097972831
