ORIGIN,total_flights,delayed_flights,delay_rate_percent
GRR,1312,342,26.067073170731707
SJU,3139,808,25.74068174577891
BUF,1355,341,25.166051660516604
DEN,24350,6074,24.944558521560577
PIT,3001,740,24.65844718427191
PHL,6492,1594,24.553296364756623
DTW,9102,2219,24.379257306086576
CLE,2858,681,23.827851644506648
DCA,10619,2478,23.335530652603822
ATL,22580,5247,23.23737821080602
SDF,1588,363,22.858942065491185
FLL,7695,1722,22.378167641325536
MIA,9939,2214,22.275882885602176
IAD,3872,860,22.210743801652892
PBI,2886,637,22.07207207207207
DFW,23469,5087,21.675401593591545
MEM,1459,316,21.658670322138452
ORD,21200,4495,21.202830188679243
PVD,1074,224,20.85661080074488
LGA,10566,2188,20.707931099753928
BOS,10356,2134,20.606411741985323
ORF,1378,282,20.4644412191582
CMH,3209,656,20.442505453412277
JFK,8164,1661,20.345418912297895
BDL,1729,345,19.953730480046268
EWR,9908,1949,19.670972951150585
CLT,16083,3144,19.548591680656592
CVG,2294,448,19.52920662598082
BWI,6777,1312,19.35959864246717
RIC,1155,220,19.047619047619047
MCO,12817,2404,18.756339236950925
IAH,8706,1626,18.676774638180564
TPA,6314,1154,18.2768451061134
OKC,1666,303,18.187274909963985
SAV,1210,220,18.181818181818183
SRQ,1470,264,17.959183673469386
MDW,5080,908,17.874015748031496
BHM,1130,201,17.787610619469028
RDU,4077,717,17.58646063281825
DSM,1025,180,17.560975609756095
BNA,7078,1207,17.05283978525007
IND,3344,567,16.955741626794257
RSW,3481,590,16.94915254237288
JAX,2138,360,16.83816651075772
MSP,8372,1385,16.543239369326326
SAN,7049,1165,16.52716697403887
MKE,1882,306,16.259298618490966
MSY,3782,607,16.049709148598627
SEA,11719,1864,15.905794009727792
STL,4384,693,15.807481751824817
TUL,1239,192,15.49636803874092
RNO,1659,256,15.430982519590113
SNA,3414,520,15.231400117164618
LAS,14803,2210,14.929406201445653
ANC,1161,172,14.814814814814813
CHS,1498,220,14.686248331108146
MCI,3183,461,14.48319195727301
DAL,5453,789,14.469099578213825
LIH,1283,184,14.341387373343725
SLC,9248,1326,14.338235294117647
GEG,1233,176,14.274128142741283
OMA,1850,264,14.270270270270272
ONT,1901,271,14.255654918463968
AUS,5984,848,14.171122994652407
OGG,2187,308,14.083219021490626
BOI,1827,253,13.84783798576902
SAT,2987,411,13.75962504184801
HNL,5059,688,13.599525597944256
GSP,1050,142,13.523809523809524
SFO,10720,1432,13.35820895522388
HOU,3858,511,13.245204769310522
LAX,14958,1934,12.929536034229175
ELP,1307,168,12.853863810252486
KOA,1352,172,12.721893491124261
SMF,4096,519,12.6708984375
PDX,4344,547,12.59208103130755
BUR,2276,286,12.56590509666081
ABQ,1757,219,12.464428002276607
PHX,15770,1927,12.219403931515536
PSP,1436,169,11.768802228412255
OAK,2834,301,10.621030345800989
SJC,3646,387,10.61437191442677
TUS,1834,194,10.577971646673937
LGB,1325,134,10.11320754716981
