DEP_TIME_BLK,total_flights,delayed_flights,delay_rate_percent
0001-0559,14430,1811,12.55024255024255
0600-0659,35230,4426,12.563156400794778
0700-0759,36580,5365,14.666484417714598
0800-0859,37650,5847,15.529880478087648
0900-0959,31326,4903,15.651535465747301
1000-1059,32059,5551,17.314950559905178
1100-1159,34881,6122,17.55110231931424
1200-1259,32004,6050,18.903887014123235
1300-1359,31831,6083,19.11030127862775
1400-1459,31835,6537,20.534003455316476
1500-1559,30824,6646,21.561121204256423
1600-1659,30894,6805,22.026930795623745
1700-1759,33839,7430,21.956913620378852
1800-1859,32430,7286,22.466851680542707
1900-1959,26163,6066,23.185414516683867
2000-2059,22326,5245,23.492788676878977
2100-2159,14662,3351,22.854999317964808
2200-2259,9671,2081,21.517940233688346
2300-2359,3634,525,14.446890478811229
